,,,SSR,SRR,cost,shift,scale
fadg0,8,0.0,-1.3285015034384533,76.19149232368683,0.002206126741309643,"[[0.0, -8.0], [0.0, -8.0]]","[[0.5001181619672974, 0.49999997110693073], [0.49999997110693095, 0.4998818380327025]]"
fadg0,8,0.20000000000000018,-1.9813737786516306,76.19084714546055,0.002206207687990796,"[[0.0, -8.0], [0.0, -8.0]]","[[0.4157251603707125, 0.41562691375997757], [0.5720613697604651, 0.5719262110161405]]"
fadg0,8,0.40000000000000013,-2.57384144287431,76.19026503952539,0.0022062807084625366,"[[0.0, -8.0], [0.0, -8.0]]","[[0.3210956256130955, 0.3210197424096104], [0.6300367189276594, 0.6298878625700902]]"
fadg0,8,0.6000000000000001,-3.105150099905048,76.18980302206538,0.00220633865610579,"[[0.0, -8.0], [0.0, -8.0]]","[[0.21855965089759993, 0.2185079995976763], [0.6724984731028655, 0.6723395844696008]]"
fadg0,8,0.8,-3.57645422495054,76.18950636268151,0.0022063758599632716,"[[0.0, -8.0], [0.0, -8.0]]","[[0.11064201221911026, 0.11061586464917311], [0.6984010829758065, 0.6982360744323186]]"
fadg0,8,1.0,-3.9897548384750627,76.18940413611749,0.002206388679393957,"[[0.0, -8.0], [0.0, -8.0]]","[[4.3308035118894445e-17, 4.3297800309761825e-17], [0.7071067403255773, 0.7069396749298384]]"
fadg0,16,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,16,-0.8,1.985487173540176,71.67612383778362,0.006202783460278439,"[[0.0, -16.0], [0.0, -16.0]]","[[0.6988730685523805, 0.6984007997195518], [0.11061581978578978, 0.11054112226191416]]"
fadg0,16,-0.6,1.464813527781352,71.67528504722719,0.006203081955172115,"[[0.0, -16.0], [0.0, -16.0]]","[[0.6729529534685319, 0.6724982003521447], [0.21850791097559508, 0.21836035522878852]]"
fadg0,16,-0.3999999999999999,0.8305438106487762,71.67397827806961,0.0062035468431184205,"[[0.0, -16.0], [0.0, -16.0]]","[[0.6304625032674815, 0.6300364633985004], [0.3210196122110014, 0.3208028315534597]]"
fadg0,16,-0.19999999999999996,0.14562536527405123,71.67233109343528,0.006204132586236695,"[[0.0, -16.0], [0.0, -16.0]]","[[0.5724479738508994, 0.5720611377448441], [0.415626745190762, 0.4153460774817276]]"
fadg0,16,0.0,-0.5443195922435782,71.67050444524835,0.006204781822527214,"[[0.0, -16.0], [0.0, -16.0]]","[[0.5003378754722054, 0.4999997683178424], [0.4999997683178424, 0.49966212452779446]]"
fadg0,16,0.20000000000000018,-1.2102339722875453,71.66867702845005,0.006205430990535556,"[[0.0, -16.0], [0.0, -16.0]]","[[0.4159077980731789, 0.41562674519076176], [0.5720611377448444, 0.5716748317844693]]"
fadg0,16,0.40000000000000013,-1.8353727109655282,71.66702783155773,0.006206016554894279,"[[0.0, -16.0], [0.0, -16.0]]","[[0.3212366903667463, 0.32101961221100117], [0.6300364633985008, 0.6296110074026191]]"
fadg0,16,0.6000000000000001,-2.411044524942171,71.66571857510823,0.006206481221880796,"[[0.0, -16.0], [0.0, -16.0]]","[[0.21865566922003254, 0.2185079109755951], [0.6724982003521448, 0.6720440704593826]]"
fadg0,16,0.8,-2.93343696899009,71.66487777229091,0.00620677953801069,"[[0.0, -16.0], [0.0, -16.0]]","[[0.11069061982056012, 0.11061581978578983], [0.6984007997195518, 0.6979291781150398]]"
fadg0,16,1.0,-3.4015270663555537,71.66458801359967,0.006206882327407967,"[[0.0, -16.0], [0.0, -16.0]]","[[4.332706134291563e-17, 4.329778274911789e-17], [0.7071064535384981, 0.7066289531113612]]"
fadg0,32,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,32,-0.8,1.981379883243915,71.31795551228294,0.0067372481304747754,"[[0.0, -32.0], [0.0, -32.0]]","[[0.6989136042969097, 0.6984007416012197], [0.11061581058075026, 0.11053470203070379]]"
fadg0,32,-0.6,1.4599518292065372,71.31704460525233,0.006737600229617727,"[[0.0, -32.0], [0.0, -32.0]]","[[0.6729919858053458, 0.672498144389331], [0.2185078927921747, 0.2183476728537677]]"
fadg0,32,-0.3999999999999999,0.8261841340309306,71.31562545430259,0.006738148600057444,"[[0.0, -32.0], [0.0, -32.0]]","[[0.630499071090907, 0.6300364109691956], [0.3210195854969362, 0.3207841993167918]]"
fadg0,32,-0.19999999999999996,0.14180034742055916,71.3138365600361,0.006738839523235412,"[[0.0, -32.0], [0.0, -32.0]]","[[0.572481176739762, 0.5720610901400315], [0.41562671060384104, 0.4153219541709163]]"
fadg0,32,0.0,-0.5479543335614587,71.31185269452486,0.006739605334260096,"[[0.0, -32.0], [0.0, -32.0]]","[[0.5003668958611874, 0.4999997267097105], [0.49999972670971043, 0.49963310413881257]]"
fadg0,32,0.20000000000000018,-1.2139799521033963,71.30986792236979,0.006740371057805389,"[[0.0, -32.0], [0.0, -32.0]]","[[0.41593192138399027, 0.4156267106038409], [0.5720610901400316, 0.5716416288956068]]"
fadg0,32,0.40000000000000013,-1.8393844215793416,71.30807665446676,0.006741061751975772,"[[0.0, -32.0], [0.0, -32.0]]","[[0.32125532260341416, 0.321019585496936], [0.6300364109691958, 0.6295744395791937]]"
fadg0,32,0.6000000000000001,-2.4153512452840697,71.30665456954068,0.0067416098393400445,"[[0.0, -32.0], [0.0, -32.0]]","[[0.21866835159505338, 0.21850789279217464], [0.6724981443893314, 0.6720050381225688]]"
fadg0,32,0.8,-2.93798930529459,71.30574128886742,0.006741961709474787,"[[0.0, -32.0], [0.0, -32.0]]","[[0.1106970400517705, 0.1106158105807503], [0.69840074160122, 0.6978886423705108]]"
fadg0,32,1.0,-3.4062345215243806,71.30542654920656,0.006742082951381879,"[[0.0, -32.0], [0.0, -32.0]]","[[4.332957438107495e-17, 4.329777914603652e-17], [0.7071063946957135, 0.7065879120836777]]"
fadg0,64,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,64,-0.8,2.3825263745565763,70.14135029774081,0.008893356164230782,"[[0.0, -64.0], [0.0, -64.0]]","[[0.6990671068843339, 0.6984004663453153], [0.1106157669844979, 0.11051038960930616]]"
fadg0,64,-0.6,2.248354113622396,70.14015589951713,0.008893961911801536,"[[0.0, -64.0], [0.0, -64.0]]","[[0.6731397952205608, 0.67249787934224], [0.2185078066731544, 0.21829964666347557]]"
fadg0,64,-0.3999999999999999,1.9132910796590534,70.1382949276638,0.008894905302595155,"[[0.0, -64.0], [0.0, -64.0]]","[[0.6306375477755587, 0.6300361626572569], [0.32101945897568407, 0.32071364192179996]]"
fadg0,64,-0.19999999999999996,1.3998917080525166,70.13594883214554,0.008896093900147176,"[[0.0, -64.0], [0.0, -64.0]]","[[0.5726069109382967, 0.5720608646775093], [0.41562654679573025, 0.415230602928456]]"
fadg0,64,0.0,0.7608179334115422,70.13334668454041,0.008897411282845057,"[[0.0, -64.0], [0.0, -64.0]]","[[0.5004767915803492, 0.49999952964824024], [0.4999995296482403, 0.4995232084196506]]"
fadg0,64,0.20000000000000018,0.05938151556059923,70.13074297688412,0.008898728468123451,"[[0.0, -64.0], [0.0, -64.0]]","[[0.4160232726264504, 0.41562654679572997], [0.5720608646775094, 0.5715158946970718]]"
fadg0,64,0.40000000000000013,-0.6513123987815348,70.12839279709135,0.00889991654882662,"[[0.0, -64.0], [0.0, -64.0]]","[[0.3213258799984058, 0.32101945897568385], [0.6300361626572573, 0.6294359628945416]]"
fadg0,64,0.6000000000000001,-1.3359710408515957,70.1265267767802,0.008900859300767734,"[[0.0, -64.0], [0.0, -64.0]]","[[0.21871637778534542, 0.2185078066731544], [0.6724978793422403, 0.6718572287073533]]"
fadg0,64,0.8,-1.9747382644709008,70.12532829426019,0.008901464531493502,"[[0.0, -64.0], [0.0, -64.0]]","[[0.11072135247316806, 0.11061576698449793], [0.6984004663453155, 0.6977351397830861]]"
fadg0,64,1.0,-2.5580782166910874,70.124915248494,0.00890167307014065,"[[0.0, -64.0], [0.0, -64.0]]","[[4.3339090867431195e-17, 4.3297762081379145e-17], [0.7071061160087098, 0.706432496067192]]"
fadg0,128,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,128,-0.8,2.230076248932912,66.86962598235004,0.018842806822134014,"[[0.0, -128.0], [0.0, -128.0]]","[[0.6998259151983466, 0.6983981472306918], [0.11061539967282626, 0.11039020617917769]]"
fadg0,128,-0.6,1.9069605098920759,66.86708856393751,0.018845551294669485,"[[0.0, -128.0], [0.0, -128.0]]","[[0.6738704605144591, 0.672495646239971], [0.2185070810942434, 0.21806223911813427]]"
fadg0,128,-0.3999999999999999,1.402729093182097,66.86313350132212,0.018849825108236407,"[[0.0, -128.0], [0.0, -128.0]]","[[0.6313220786448674, 0.6300340705537313], [0.3210183929956947, 0.32036485602292264]]"
fadg0,128,-0.19999999999999996,0.7851385109043716,66.85814471559661,0.018855209036406972,"[[0.0, -128.0], [0.0, -128.0]]","[[0.5732284519611861, 0.572058965087259], [0.4156251666626275, 0.4147790269424271]]"
fadg0,128,0.0,0.11495711993026546,66.85260791109584,0.018861175355483234,"[[0.0, -128.0], [0.0, -128.0]]","[[0.5010200383540591, 0.4999978693454815], [0.4999978693454816, 0.4989799616459409]]"
fadg0,128,0.20000000000000018,-0.5629842910699709,66.84706403878921,0.018867139771836763,"[[0.0, -128.0], [0.0, -128.0]]","[[0.4164748486124794, 0.4156251666626273], [0.572058965087259, 0.5708943536741826]]"
fadg0,128,0.40000000000000013,-1.2196071319776103,66.84205674917087,0.01887251871861687,"[[0.0, -128.0], [0.0, -128.0]]","[[0.3216746658972832, 0.32101839299569446], [0.6300340705537315, 0.628751432025233]]"
fadg0,128,0.6000000000000001,-1.837802763942103,66.83807881421302,0.01887678637484369,"[[0.0, -128.0], [0.0, -128.0]]","[[0.2189537853306867, 0.21850708109424344], [0.6724956462399712, 0.6711265634134553]]"
fadg0,128,0.8,-2.4084328268874495,66.83552289146688,0.018879525865984462,"[[0.0, -128.0], [0.0, -128.0]]","[[0.11084153590329657, 0.11061539967282627], [0.6983981472306919, 0.6969763314690733]]"
fadg0,128,1.0,-2.9272651547959274,66.83464182995066,0.01888046973744178,"[[0.0, -128.0], [0.0, -128.0]]","[[4.3386133650803645e-17, 4.3297618306456256e-17], [0.7071037679860308, 0.7056642291120963]]"
fadg0,256,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,256,-0.8,2.0583640229029885,63.95132626202532,0.03683115165575997,"[[0.0, -256.0], [0.0, -256.0]]","[[0.7012159354719478, 0.6983896270593581], [0.11061405021025811, 0.1101700485961036]]"
fadg0,256,-0.6,1.60542991609341,63.94635626617249,0.036841753569866104,"[[0.0, -256.0], [0.0, -256.0]]","[[0.675208927098153, 0.6724874420685396], [0.21850441539735416, 0.21762734496234254]]"
fadg0,256,-0.3999999999999999,1.0181646545002607,63.93860407882683,0.036858260335521933,"[[0.0, -256.0], [0.0, -256.0]]","[[0.6325760340492479, 0.6300263843961311], [0.32101447670278876, 0.3197259338318599]]"
fadg0,256,-0.19999999999999996,0.359368507523492,63.92881614518413,0.03687904950330113,"[[0.0, -256.0], [0.0, -256.0]]","[[0.5743670196425574, 0.5720519862021989], [0.4156200962058335, 0.41395180910089824]]"
fadg0,256,0.0,-0.32109687558227484,63.91794038980533,0.036902080721366845,"[[0.0, -256.0], [0.0, -256.0]]","[[0.5020151829974169, 0.4999917695762738], [0.4999917695762738, 0.49798481700258307]]"
fadg0,256,0.20000000000000018,-0.9891412749054613,63.90703733144549,0.03692509750608835,"[[0.0, -256.0], [0.0, -256.0]]","[[0.41730206645400836, 0.4156200962058333], [0.5720519862021991, 0.5697557859928111]]"
fadg0,256,0.40000000000000013,-1.6238706021767941,63.89717791563789,0.03694584888680811,"[[0.0, -256.0], [0.0, -256.0]]","[[0.3223135880883461, 0.3210144767027885], [0.6300263843961315, 0.6274974766208528]]"
fadg0,256,0.6000000000000001,-2.213655595408622,63.88933736741225,0.03696230894495131,"[[0.0, -256.0], [0.0, -256.0]]","[[0.21938867948647853, 0.21850441539735416], [0.6724874420685398, 0.6697880968297615]]"
fadg0,256,0.8,-2.752750741901505,63.884295882816275,0.03697287307178459,"[[0.0, -256.0], [0.0, -256.0]]","[[0.11106169348637066, 0.11061405021025811], [0.6983896270593584, 0.6955863111954723]]"
fadg0,256,1.0,-3.238903905612399,63.88255733383956,0.0369765125193311,"[[0.0, -256.0], [0.0, -256.0]]","[[4.347230880387824e-17, 4.329709009324753e-17], [0.7070951416096898, 0.7042568820609368]]"
fadg0,512,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,512,-0.8,2.3698397494150374,60.86396117323608,0.07510192606615898,"[[0.0, -512.0], [0.0, -512.0]]","[[0.7041967441817363, 0.6983526997874638], [0.11060820150496647, 0.10969793487688932]]"
fadg0,512,-0.6,2.1861234682602877,60.85383596733428,0.07514657329183565,"[[0.0, -512.0], [0.0, -512.0]]","[[0.6780791822492521, 0.6724518843717233], [0.21849286200130594, 0.2166947425305366]]"
fadg0,512,-0.3999999999999999,1.7848361841564029,60.83801935314592,0.07521606006368141,"[[0.0, -512.0], [0.0, -512.0]]","[[0.6352650604340068, 0.6299930718228974], [0.32099750309893804, 0.3183558064544633]]"
fadg0,512,-0.19999999999999996,1.2270038068827902,60.81800806835699,0.07530352698216909,"[[0.0, -512.0], [0.0, -512.0]]","[[0.5768086045070164, 0.5720217390186589], [0.41559812034063937, 0.4121778938611347]]"
fadg0,512,0.0,0.5791428546672814,60.795717921930915,0.07540036594553243,"[[0.0, -512.0], [0.0, -512.0]]","[[0.5041492064190574, 0.49996533256847087], [0.4999653325684711, 0.49585079358094275]]"
fadg0,512,0.20000000000000018,-0.1035275419694244,60.77331279622081,0.07549708039560296,"[[0.0, -512.0], [0.0, -512.0]]","[[0.419075981693772, 0.41559812034063914], [0.5720217390186595, 0.5673142011283524]]"
fadg0,512,0.40000000000000013,-0.7822251693149356,60.75300045570758,0.075584221331644,"[[0.0, -512.0], [0.0, -512.0]]","[[0.32368371546574265, 0.3209975030989376], [0.6299930718228979, 0.6248084502360941]]"
fadg0,512,0.6000000000000001,-1.4326346717826857,60.73681164406007,0.07565330516213362,"[[0.0, -512.0], [0.0, -512.0]]","[[0.22032128191828454, 0.2184928620013058], [0.6724518843717235, 0.6669178416786626]]"
fadg0,512,0.8,-2.040829241799194,60.72638526572341,0.07569762639745939,"[[0.0, -512.0], [0.0, -512.0]]","[[0.11153380720558503, 0.11060820150496645], [0.6983526997874646, 0.6926055024856843]]"
fadg0,512,1.0,-2.599574591058567,60.72278664130824,0.07571289242961535,"[[0.0, -512.0], [0.0, -512.0]]","[[4.365710585449005e-17, 4.3294800764545977e-17], [0.7070577540347065, 0.7012389171956313]]"
faks0,0,-1.0,2.3226068750587263,80.0,9.85262380636419e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865475, 0.7071067811865474], [0.0, 0.0]]"
faks0,0,-0.8,4.179752804999579,80.0,1.6869602445028313e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6984011233337101, 0.69840112333371], [0.11061587104123713, 0.1106158710412371]]"
faks0,0,-0.6,6.6156950184317065,80.0,4.7845785130189206e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6724985119639573, 0.6724985119639572], [0.2185080122244105, 0.21850801222441046]]"
faks0,0,-0.3999999999999999,10.092751259580599,80.0,3.8847257778684035e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6300367553350504, 0.6300367553350503], [0.32101976096010293, 0.32101976096010293]]"
faks0,0,-0.19999999999999996,16.0865341185916,80.0,2.3833015759762584e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5720614028176843, 0.5720614028176843], [0.4156269377774533, 0.4156269377774533]]"
faks0,0,0.0,80.0,80.0,2.1297249459784992e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000000000000001, 0.5], [0.5, 0.49999999999999994]]"
faks0,0,0.20000000000000018,16.086534118591594,80.0,2.3833015759762584e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4156269377774533, 0.4156269377774533], [0.5720614028176843, 0.5720614028176843]]"
faks0,0,0.40000000000000013,10.092751259580591,80.0,1.838358305210182e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3210197609601029, 0.3210197609601028], [0.6300367553350503, 0.6300367553350503]]"
faks0,0,0.6000000000000001,6.615695018431705,80.0,4.87069043131825e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.21850801222441055, 0.21850801222441052], [0.6724985119639573, 0.6724985119639572]]"
faks0,0,0.8,4.179752804999576,80.0,1.6736399871721119e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.11061587104123716, 0.11061587104123716], [0.6984011233337101, 0.69840112333371]]"
