,,SSR,SRR,cost,shift,scale
James Elder & Mark M Thompson - The English Actor,other,11.937191315353239,4.408685932067141,11.357951931037109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7203199857973513, 0.04523480120099402], [0.022645694841448447, 0.7602294814634678]]"
James Elder & Mark M Thompson - The English Actor,vocals,8.314411801590985,3.5035747876267918,6.616241151378395,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5739612304138624, 0.04434989285931193], [0.06356409732781783, 0.5043471374821292]]"
Juliet's Rescue - Heartbeats,bass,0.6752979049980998,-5.993090865989116,3.4728684514146164,"[[-4.0, -4.0], [-4.0, -4.0]]","[[0.011829541087711011, 0.09524345019942744], [-6.134307043011991e-07, 0.15789911585098834]]"
Juliet's Rescue - Heartbeats,drums,20.35667685878622,14.743727467735683,6.064492667017282,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6815360068152576, 0.24758018778829435], [0.22819187233672095, 0.7282797694371151]]"
Juliet's Rescue - Heartbeats,other,14.10338748268484,4.58173318581414,11.062232447832088,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8135850327169065, 0.0], [0.0011246080193963101, 0.7764598942031534]]"
Juliet's Rescue - Heartbeats,vocals,14.133783617984175,4.724122593684855,6.934636338722384,"[[0.0, -1.0], [-1.0, 0.0]]","[[0.8129040602766565, 0.0], [0.0, 0.8027056122081934]]"
Little Chicago's Finest - My Own,bass,12.089755221269783,-0.3225773104115134,8.030408133755774,"[[-7.0, -37.5], [14.0, -2.0]]","[[0.617730105001937, 0.1707505958492157], [0.3173214199498219, 0.5546170134470582]]"
Little Chicago's Finest - My Own,drums,2.746605382106597,-3.949597277327821,16.392269909892015,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.10242475126936762, 0.17572332103882216], [-0.10940889165930658, 0.4774840470373126]]"
Little Chicago's Finest - My Own,other,8.620562183656418,-1.5663286510914416,5.992483568924513,"[[0.0, -54.5], [-456.0, 0.0]]","[[0.6078827728605072, 0.035824206642075765], [0.033262291813427776, 0.6296945672734569]]"
Little Chicago's Finest - My Own,vocals,16.229283711252698,4.927973308022516,8.201419868980658,"[[0.0, 0.0], [0.0, 0.0]]","[[0.775397958394596, 0.1302111296892409], [0.08658615912403692, 0.8020875047616685]]"
Louis Cressy Band - Good Time,bass,14.059164476310773,8.676231267431428,4.603230367421945,"[[4.0, 22.0], [-22.0, -5.0]]","[[0.831584573487157, 0.0008072174904187001], [0.28516209048961105, 0.526752144218308]]"
