,,,SSR,SRR,cost,shift,scale
fadg0,0.5,0.5009032010701366,62.982513685175064,80.0,3.2689915501629976e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14619577154210012, 0.35294781441853657], [0.35365718682070685, 0.8538039768532656]]"
fadg0,0.5,0.5027144176165949,53.42467071313778,80.0,2.59991035364281e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14569253719626024, 0.351732899235758], [0.3538647962316154, 0.8543051903087572]]"
fadg0,0.5,0.5081577217309605,43.86683949008628,80.0,2.7140908014605524e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.14417838139989914, 0.3480774037766371], [0.3544844196063228, 0.8558010934635393]]"
fadg0,0.5,0.5245166489610639,34.30911438437906,80.0,4.4365650568455996e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1396120944951062, 0.3370534120013994], [0.356307553214096, 0.8602025273454433]]"
fadg0,0.5,0.5736806299728078,24.752347761002483,80.0,2.791542168577766e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1257532355660131, 0.3035951668157673], [0.3614315054770477, 0.8725728423916137]]"
fadg0,0.5,0.7214346357779824,15.204240555412303,80.0,2.099645649860532e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.08305894347202825, 0.20052202780655076], [0.3735610007964386, 0.9018560344964281]]"
fadg0,1.0,-1.0,-3.0102999566398125,80.0,0.0,"[[0.0, 0.0], [0.0, 0.0]]","[[6.123233995736767e-17, 1.0], [0.0, 0.0]]"
fadg0,1.0,0.3345157616021516,5.734541550939232,80.0,2.777509457986193e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[3.05669101923897e-17, 0.49919552663954325], [5.305717159767402e-17, 0.8664893687651736]]"
fadg0,1.0,0.7785653642220178,15.204240555412317,80.0,1.1624537604418957e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[1.0595581219990555e-17, 0.17303897298988755], [6.03086487600678e-17, 0.9849149779684563]]"
fadg0,1.0,0.9263193700271922,24.752347761002486,80.0,1.2783634804175314e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[3.5414543507969675e-18, 0.05783633866128039], [6.112984179380693e-17, 0.9983260779576271]]"
fadg0,1.0,0.9754833510389361,34.309114384379065,80.0,2.1023966393028468e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[1.178976120323e-18, 0.019254141212696578], [6.122098881888753e-17, 0.9998146218405497]]"
fadg0,1.0,0.9918422782690395,43.86683949008625,80.0,2.9602424154806503e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[3.923165713955547e-19, 0.006407015829685764], [6.123108315522807e-17, 0.9999794748634385]]"
fadg0,1.0,0.9972855823834051,53.42467071313777,80.0,2.956138538643956e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[1.3054104160443236e-19, 0.00213189699585742], [6.123220080718233e-17, 0.9999977275050174]]"
fadg0,1.0,0.9990967989298634,62.98251368517558,80.0,8.671771991444966e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[4.3436532086065546e-20, 0.000709372402170287], [6.123232455102716e-17, 0.9999997483953658]]"
fadg0,1.0,0.99969946696186,72.5403579580309,80.0,1.4763233826783018e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[1.4453164814925212e-20, 0.0002360380940037253], [6.123233825161889e-17, 0.9999999721430085]]"
fadg0,1.0,0.9999,80.0,80.0,8.563344441706686e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[4.809176729358249e-21, 7.853981625896683e-05], [6.123233976851171e-17, 0.9999999969157485]]"
faks0,-1.0,-0.9999,80.0,80.0,2.4363630437272024e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999999969157487, 0.0], [7.853981625899068e-05, 0.0]]"
faks0,-1.0,-0.99969946696186,72.54035795803064,80.0,3.481407795606335e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999999721430087, 0.0], [0.00023603809400367108, 0.0]]"
faks0,-1.0,-0.9990967989298634,62.98251368517681,80.0,1.9983488633532316e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999997483953659, 0.0], [0.0007093724021701256, 0.0]]"
faks0,-1.0,-0.9972855823834051,53.424670713137594,80.0,1.9954358976409938e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999977275050175, 0.0], [0.0021318969958574016, 0.0]]"
faks0,-1.0,-0.9918422782690395,43.866839490086285,80.0,2.0038364395811666e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999794748634386, 0.0], [0.006407015829685671, 0.0]]"
faks0,-1.0,-0.9754833510389361,34.30911438437902,80.0,2.0303577666008415e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.99981462184055, 0.0], [0.01925414121269661, 0.0]]"
faks0,-1.0,-0.9263193700271922,24.752347761002472,80.0,9.373424113564965e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[0.998326077957627, 0.0], [0.05783633866128044, 0.0]]"
faks0,-1.0,-0.7785653642220176,15.204240555412303,80.0,1.9837167695378703e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9849149779684565, 0.0], [0.17303897298988777, 0.0]]"
faks0,-1.0,-0.33451576160215124,5.734541550939229,80.0,2.5580435577031374e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8664893687651735, 0.0], [0.4991955266395434, 0.0]]"
faks0,-1.0,1.0,-3.0102999566398108,80.0,0.0,"[[0.0, 0.0], [0.0, 0.0]]","[[6.123233995736766e-17, 0.0], [1.0, 0.0]]"
faks0,-0.5,-0.7214346357779822,15.204240555412312,80.0,2.859676973040813e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9018560344964283, 0.37356100079643834], [0.20052202780655085, 0.08305894347202825]]"
faks0,-0.5,-0.5736806299728078,24.752347761002458,80.0,2.4774255153144338e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8725728423916138, 0.3614315054770475], [0.30359516681576715, 0.12575323556601292]]"
faks0,-0.5,-0.5245166489610639,34.309114384379,80.0,3.272695938182005e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8602025273454437, 0.35630755321409585], [0.33705341200139927, 0.1396120944951061]]"
faks0,-0.5,-0.5081577217309605,43.86683949008632,80.0,2.5115218941176337e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8558010934635393, 0.3544844196063226], [0.34807740377663704, 0.144178381399899]]"
faks0,-0.5,-0.5027144176165949,53.424670713137765,80.0,1.6098285040067362e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8543051903087573, 0.35386479623161526], [0.35173289923575785, 0.14569253719626013]]"
faks0,-0.5,-0.5009032010701366,62.98251368517703,80.0,2.591659173554183e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8538039768532657, 0.3536571868207067], [0.35294781441853673, 0.1461957715421001]]"
faks0,-0.5,-0.50030053303814,72.5403579580322,80.0,2.714090316205797e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8536368188842883, 0.35358794772289764], [0.35335190962889407, 0.14636315325872015]]"
faks0,-0.5,-0.5001,80.0,80.0,1.782492707091436e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8535811559790355, 0.35356489139262076], [0.3534863515763617, 0.1464188409367131]]"
faks0,-0.5,-0.4999,80.0,80.0,4.0208609336127986e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8535256199423658, 0.3535418876130316], [0.35362042742929073, 0.14647437697338303]]"
faks0,-0.5,-0.49969946696185996,72.54035795803647,80.0,3.0380210120068087e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8534699147474003, 0.35351881376578237], [0.35375485185978595, 0.14653005739560848]]"
faks0,-0.5,-0.4990967989298633,62.98251368517821,80.0,1.821935520754329e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8533023748173045, 0.3534494164544977], [0.35415878885666785, 0.14669737357806117]]"
faks0,-0.5,-0.4972855823834051,53.42467071313747,80.0,1.950180391551902e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8527977114861952, 0.3532403780583198], [0.35537227505417734, 0.14720001601882213]]"
faks0,-0.5,-0.49184227826903953,43.86683949008622,80.0,1.7172249441476496e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8512706491231989, 0.35260784811697715], [0.35901486394666304, 0.14870882574023933]]"
faks0,-0.5,-0.4754833510389362,34.309114384379036,80.0,1.927723558645735e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8465877935280225, 0.35066814581882044], [0.36992228703151714, 0.15322682831252726]]"
faks0,-0.5,-0.4263193700271923,24.752347761002483,80.0,2.3912726103486562e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8316763751252209, 0.34449163408216027], [0.4023279727434406, 0.16664970283240596]]"
faks0,-0.5,-0.2785653642220176,15.204240555412316,80.0,2.198559333134885e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7794990032857229, 0.32287905901725616], [0.49591803200714374, 0.20541597468273354]]"
faks0,-0.5,0.16548423839784876,5.734541550939226,80.0,1.6486600060032373e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5631026676101338, 0.23324476193258634], [0.73244028857213, 0.30338670115503963]]"
faks0,0.0,-0.6654842383978484,5.734541550939234,80.0,2.0267099668759804e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6828424477023585, 0.6828424477023584], [0.18364692106281522, 0.1836469210628152]]"
faks0,0.0,-0.22143463577798217,15.204240555412314,80.0,2.3998413203343198e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5789769754791718, 0.5789769754791717], [0.40593800248928424, 0.40593800248928424]]"
faks0,0.0,-0.07368062997280773,24.75234776100248,80.0,3.332065604601219e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5280812083094536, 0.5280812083094535], [0.47024486964817314, 0.47024486964817314]]"
faks0,0.0,-0.024516648961063817,34.30911438437909,80.0,3.618430747598241e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5095343815266231, 0.509534381526623], [0.4902802403139267, 0.4902802403139266]]"
faks0,0.0,-0.008157721730960478,43.86683949008631,80.0,2.516632862825092e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5031932453465621, 0.503193245346562], [0.4967862295168763, 0.4967862295168762]]"
