,,,SSR,SRR,cost,shift,scale
fadg0,-24,1.0,2.144546139825178,-24.730806511972837,245.35838331591253,"[[-1663.5, 0.0], [-1663.5, 0.0]]","[[0.178104595401721, 0.17932875389883374], [0.640495939152177, 0.6459965711689573]]"
fadg0,-12,-1.0,2.2351882948208504,-12.043923071529782,61.65802936198377,"[[0.0, -3336.5], [0.0, -3336.5]]","[[0.7222347699747496, 0.7113323563095668], [0.010351797245692112, 0.011025529814409466]]"
fadg0,-12,-0.8,3.654507604929081,-12.54161564574949,65.18356578187253,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7064771779750973, 0.7064771779750971], [0.08414075391240279, 0.08414075391240278]]"
fadg0,-12,-0.6,6.4631162035068055,-12.50348687719433,65.04018200623752,"[[0.0, 0.0], [0.0, 0.0]]","[[0.679568344698092, 0.679568344698092], [0.21605511085127097, 0.21605511085127094]]"
fadg0,-12,-0.3999999999999999,10.512084137835487,-13.038132495955029,65.16748673454616,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5950384800650899, 0.5950384800650896], [0.31173801631742637, 0.3117380163174263]]"
fadg0,-12,-0.19999999999999996,17.631119367533618,-12.72222489677224,65.16513752925098,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5537080396347231, 0.5537080396347229], [0.4224986674813509, 0.4224986674813508]]"
fadg0,-12,0.0,33.47493893396299,-12.479271285902428,65.20675943077784,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5046512656736267, 0.5046512656736266], [0.5090272844135085, 0.5090272844135084]]"
fadg0,-12,0.20000000000000018,15.437054969849473,-12.555628252378131,65.22095166288682,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4115819188250934, 0.4115819188250932], [0.5796023342436274, 0.5796023342436273]]"
fadg0,-12,0.40000000000000013,9.926990737214108,-12.40277258537475,65.19382764529624,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3271822378040004, 0.32718223780400035], [0.6449402361292715, 0.6449402361292714]]"
fadg0,-12,0.6000000000000001,6.58467316354906,-12.561037349055129,65.14913056511075,"[[0.0, 0.0], [0.0, 0.0]]","[[0.21865709586492146, 0.21865709586492138], [0.6749948657758961, 0.674994865775896]]"
fadg0,-12,0.8,3.8579254071583717,-12.751448510890304,65.11581546708183,"[[0.0, 0.0], [0.0, 0.0]]","[[0.08744755967459414, 0.08744755967459411], [0.688280539741692, 0.6882805397416919]]"
fadg0,-12,1.0,2.1464053990142173,-12.005697037375604,62.35917337511928,"[[-2722.5, 0.0], [-2722.5, 0.0]]","[[0.01168537632502814, 0.011224009964994692], [0.7229921363292389, 0.7317889725610617]]"
fadg0,-6,-1.0,2.229368378941228,-6.263614146317661,31.98221618631757,"[[0.0, -1297.0], [0.0, -1297.0]]","[[0.7222716337466731, 0.7157552706485921], [-0.027089742305210735, -0.026883626225567232]]"
fadg0,-6,-0.8,4.1666438741071605,-6.613595048969364,32.65487565702625,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6968285521937337, 0.6968285521937336], [0.10906017191337988, 0.10906017191337986]]"
fadg0,-6,-0.6,6.594908905461217,-6.509070190799279,32.653810146258586,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6786107008910173, 0.6786107008910172], [0.22146069239360824, 0.2214606923936082]]"
fadg0,-6,-0.3999999999999999,9.817709183831274,-6.590255549880455,32.65073619237386,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6333066830841713, 0.6333066830841712], [0.31445689221325945, 0.31445689221325934]]"
fadg0,-6,-0.19999999999999996,16.437082373381493,-6.557726641397028,32.608352471965446,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5708730027448187, 0.5708730027448186], [0.4201834541393186, 0.42018345413931857]]"
fadg0,-6,0.0,43.90490461888244,-6.5589634795798775,32.65561608392596,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5026698586277184, 0.5026698586277183], [0.5011038278451395, 0.5011038278451394]]"
fadg0,-6,0.20000000000000018,15.485241933937068,-6.642442189990168,32.68137343897928,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4066527479328679, 0.40665274793286776], [0.57403320050621, 0.5740332005062099]]"
fadg0,-6,0.40000000000000013,10.05472428260489,-6.6044172831776,32.684195678351486,"[[0.0, 0.0], [0.0, 0.0]]","[[0.31994702781697854, 0.3199470278169785], [0.630162429914044, 0.6301624299140439]]"
fadg0,-6,0.6000000000000001,6.603496550540349,-6.599489376311158,32.670451468825874,"[[0.0, 0.0], [0.0, 0.0]]","[[0.21788564425064216, 0.2178856442506421], [0.6723676204607854, 0.6723676204607851]]"
fadg0,-6,0.8,4.133406130939882,-6.5553303234511295,32.667023761496445,"[[0.0, 0.0], [0.0, 0.0]]","[[0.10974127533566473, 0.10974127533566469], [0.7018145296620666, 0.7018145296620666]]"
