,,,SSR,SRR,cost,shift,scale
faks0,4096,-1.0,2.487445652198697,13.946553834352837,3.582760458583614,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6788424762712709, 0.6788424762712708], [0.0, 0.0]]"
faks0,4096,-0.8,4.3380311806835445,13.946553834352837,3.582760458583614,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6704847989138658, 0.6704847989138657], [0.10619435962208192, 0.1061943596220819]]"
faks0,4096,-0.6,6.759823790773483,13.946553834352839,3.5827604585836146,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6456175605957305, 0.6456175605957305], [0.20977386167139478, 0.20977386167139475]]"
faks0,4096,-0.3999999999999999,10.09473091538165,13.94655383435284,3.5827604585836133,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6048530752538898, 0.6048530752538898], [0.3081880350468259, 0.30818803504682585]]"
faks0,4096,-0.19999999999999996,15.979653147434883,13.94655383435284,3.582760458583615,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5491950998070305, 0.5491950998070304], [0.3990135961819562, 0.39901359618195614]]"
faks0,4096,0.0,27.96493385095536,13.946553834352837,3.5827604585836146,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4800141183288839, 0.4800141183288838], [0.48001411832888363, 0.4800141183288836]]"
faks0,4096,0.20000000000000018,15.979653147434874,13.94655383435284,3.5827604585836146,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3990135961819562, 0.39901359618195614], [0.5491950998070305, 0.5491950998070304]]"
faks0,4096,0.40000000000000013,10.094730915381636,13.946553834352839,3.5827604585836133,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3081880350468256, 0.3081880350468256], [0.6048530752538898, 0.6048530752538898]]"
faks0,4096,0.6000000000000001,6.75982379077348,13.946553834352839,3.5827604585836146,"[[0.0, 0.0], [0.0, 0.0]]","[[0.2097738616713948, 0.20977386167139478], [0.6456175605957305, 0.6456175605957305]]"
faks0,4096,0.8,4.3380311806835445,13.946553834352839,3.582760458583614,"[[0.0, 0.0], [0.0, 0.0]]","[[0.10619435962208194, 0.10619435962208192], [0.6704847989138658, 0.6704847989138657]]"
faks0,4096,1.0,2.487445652198696,13.946553834352837,3.582760458583614,"[[0.0, 0.0], [0.0, 0.0]]","[[4.1567113284543764e-17, 4.156711328454376e-17], [0.6788424762712709, 0.6788424762712708]]"
faks0,8000,-1.0,2.3226068750587263,80.0,9.85262380636419e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865475, 0.7071067811865474], [0.0, 0.0]]"
faks0,8000,-0.8,4.179752804999579,80.0,1.6869602445028313e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6984011233337101, 0.69840112333371], [0.11061587104123713, 0.1106158710412371]]"
faks0,8000,-0.6,6.6156950184317065,80.0,4.7845785130189206e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6724985119639573, 0.6724985119639572], [0.2185080122244105, 0.21850801222441046]]"
faks0,8000,-0.3999999999999999,10.092751259580599,80.0,3.8847257778684035e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6300367553350504, 0.6300367553350503], [0.32101976096010293, 0.32101976096010293]]"
faks0,8000,-0.19999999999999996,16.0865341185916,80.0,2.3833015759762584e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5720614028176843, 0.5720614028176843], [0.4156269377774533, 0.4156269377774533]]"
faks0,8000,0.0,80.0,80.0,2.1297249459784992e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000000000000001, 0.5], [0.5, 0.49999999999999994]]"
faks0,8000,0.20000000000000018,16.086534118591594,80.0,2.3833015759762584e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4156269377774533, 0.4156269377774533], [0.5720614028176843, 0.5720614028176843]]"
faks0,8000,0.40000000000000013,10.092751259580591,80.0,1.838358305210182e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3210197609601029, 0.3210197609601028], [0.6300367553350503, 0.6300367553350503]]"
faks0,8000,0.6000000000000001,6.615695018431705,80.0,4.87069043131825e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.21850801222441055, 0.21850801222441052], [0.6724985119639573, 0.6724985119639572]]"
faks0,8000,0.8,4.179752804999576,80.0,1.6736399871721119e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.11061587104123716, 0.11061587104123716], [0.6984011233337101, 0.69840112333371]]"
faks0,8000,1.0,2.3226068750587254,80.0,9.85262380636419e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[4.329780281177466e-17, 4.329780281177465e-17], [0.7071067811865475, 0.7071067811865474]]"
fasw0,4096,-1.0,2.6048660700278656,11.245189314360626,4.02866351276377,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6564056958572578, 0.6564056958572578], [0.0, 0.0]]"
fasw0,4096,-0.8,4.44036112664196,11.245189314360623,4.028663512763769,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6483242524984515, 0.6483242524984514], [0.10268447388079063, 0.1026844738807906]]"
fasw0,4096,-0.6,6.829860516593889,11.245189314360625,4.02866351276377,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6242789143782999, 0.6242789143782997], [0.20284051522440566, 0.20284051522440566]]"
fasw0,4096,-0.3999999999999999,10.094384790999877,11.245189314360625,4.028663512763768,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5848617575232221, 0.584861757523222], [0.29800194989412143, 0.29800194989412143]]"
fasw0,4096,-0.19999999999999996,15.528578872338322,11.245189314360626,4.028663512763769,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5310433631530347, 0.5310433631530346], [0.38582558754567464, 0.3858255875456746]]"
fasw0,4096,0.0,22.8893549208053,11.245189314360625,4.02866351276377,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4641489187501416, 0.46414891875014147], [0.4641489187501416, 0.46414891875014147]]"
fasw0,4096,0.20000000000000018,15.528578872338315,11.245189314360623,4.028663512763769,"[[0.0, 0.0], [0.0, 0.0]]","[[0.38582558754567464, 0.3858255875456746], [0.5310433631530347, 0.5310433631530346]]"
fasw0,4096,0.40000000000000013,10.094384790999866,11.245189314360626,4.028663512763768,"[[0.0, 0.0], [0.0, 0.0]]","[[0.2980019498941213, 0.29800194989412127], [0.5848617575232223, 0.5848617575232221]]"
fasw0,4096,0.6000000000000001,6.829860516593889,11.245189314360626,4.02866351276377,"[[0.0, 0.0], [0.0, 0.0]]","[[0.20284051522440577, 0.20284051522440574], [0.6242789143782999, 0.6242789143782997]]"
fasw0,4096,0.8,4.440361126641959,11.245189314360623,4.028663512763769,"[[0.0, 0.0], [0.0, 0.0]]","[[0.10268447388079065, 0.10268447388079063], [0.6483242524984515, 0.6483242524984514]]"
fasw0,4096,1.0,2.604866070027864,11.245189314360626,4.02866351276377,"[[0.0, 0.0], [0.0, 0.0]]","[[4.0193256718684104e-17, 4.01932567186841e-17], [0.6564056958572578, 0.6564056958572578]]"
fasw0,8000,-1.0,2.322606875058728,80.0,5.901677034507914e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865474, 0.707106781186547], [0.0, 0.0]]"
fasw0,8000,-0.8,4.179752804999578,80.0,5.760797683586938e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.69840112333371, 0.6984011233337099], [0.11061587104123709, 0.11061587104123705]]"
fasw0,8000,-0.6,6.615695018431707,80.0,3.628202460903141e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6724985119639573, 0.672498511963957], [0.2185080122244105, 0.21850801222441044]]"
fasw0,8000,-0.3999999999999999,10.092751259580606,80.0,4.656936847913222e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6300367553350502, 0.63003675533505], [0.32101976096010304, 0.32101976096010293]]"
fasw0,8000,-0.19999999999999996,16.086534118591604,80.0,7.255532974110036e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5720614028176843, 0.572061402817684], [0.4156269377774533, 0.4156269377774532]]"
fasw0,8000,0.0,80.0,80.0,1.8993198703823975e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000000000000001, 0.49999999999999994], [0.49999999999999994, 0.49999999999999983]]"
fasw0,8000,0.20000000000000018,16.086534118591597,80.0,7.255532974110036e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4156269377774533, 0.4156269377774532], [0.5720614028176843, 0.572061402817684]]"
fasw0,8000,0.40000000000000013,10.092751259580591,80.0,3.4343845471218642e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3210197609601029, 0.3210197609601027], [0.6300367553350503, 0.6300367553350501]]"
fasw0,8000,0.6000000000000001,6.615695018431705,80.0,5.259483735698472e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.2185080122244105, 0.2185080122244104], [0.6724985119639573, 0.672498511963957]]"
fasw0,8000,0.8,4.179752804999577,80.0,5.838892110222316e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.11061587104123716, 0.11061587104123712], [0.69840112333371, 0.6984011233337099]]"
fasw0,8000,1.0,2.3226068750587263,80.0,5.901677034507914e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[4.3297802811774664e-17, 4.329780281177465e-17], [0.7071067811865474, 0.707106781186547]]"
fawf0,4096,-1.0,2.40783516091709,17.137695705142086,2.3921220574002815,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6928477749246429, 0.6928477749246427], [0.0, 0.0]]"
fawf0,4096,-0.8,4.263215511250861,17.137695705142086,2.392122057400282,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6843176691003541, 0.6843176691003539], [0.10838527102465079, 0.10838527102465076]]"
fawf0,4096,-0.6,6.695343682494334,17.137695705142086,2.392122057400282,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6589373911426796, 0.6589373911426795], [0.21410173696658324, 0.2141017369665832]]"
fawf0,4096,-0.3999999999999999,10.16152277320801,17.137695705142082,2.3921220574002815,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6173318877272503, 0.6173318877272502], [0.31454630758147173, 0.3145463075814716]]"
